li	unicode	GHC	homophones	sea	GX2021	GX202404	GX202411
1969	𗅬	dzjiw²	5	2.40	dziw²	dziw²	dziw²
1970	𗂗	khiə²	5	2.26	qhʕəʶ²	qhaə̱²	qhaə̱²
1971	𗂤	bia²	1	2.15	bʕaʶ²	baa̱²	baa̱²
1972	𗁒	rjijr²	9	2.68	rer²	rer²	rer²
1973	𗁨	bji̱²	1	2.12	mbi²	mbi²	mbi²
1974	𗂁	khiə²	5	2.26	qhʕəʶ²	qhaə̱²	qhaə̱²
1976	𗁼	bjij²	1	2.33	be²	be²	be²
1977	𗹧	mə¹	1	1.27	məʶ¹	mə̱¹	mə̱¹
1978	𗺂	wej²	2	2.30	weʶ²	ve̱²	vwe̱²
1979	𘉁	mji̱¹	1	1.14	mmi¹	mmi¹	mmi¹
1980	𗹯	rjor²	9	2.81	ror²	ror²	ror²
1982	𗁪	thew²	3	2.38	thiʶw²	thi̱w²	thi̱w²
1983	𗂻	dwej¹	3	1.33	dweʶ¹	dwe̱¹	dwe̱¹
1985	𗄮	gja¹	5	1.20	ga¹	ga¹	ga¹
1986	𗹢	djọ²	3	2.64	dọ²	doh²	doh²
1987	𗉺	śia¹	7	1.18	śʕaʶ¹	ṣaa̱¹	ṣaa̱¹
1988	𗉾	śiar¹	7	1.81	śʕaʶr¹	rṣaa̱r¹	rṣaa̱r¹
1989	𗋙	wjɨ²	2	2.27	wə²	və²	və²
1990	𗊧	tśhjwã¹	7	1.26	tśhwã¹	tśhwaṁ¹	tśhwaṃ¹
1991	𗊸	no²	3	2.42	noʶ²	no̱²	no̱²
1992	𗋠	dźja̱²	7	2.21	ndźa²	ndźa²	ndźa²
1993	𗋢	kwə²	5	2.25	qwəʶ²	qwə̱²	qwə̱²
1994	𗊾	kjɨ̱r²	5	2.85	kəər²	rkər²	rkər²
1995	𗏂	me²	1	2.07	miʶ²	mi̱²	mi̱²
1996	𗋁	djij²	3	2.33	de²	de²	de²
1997	𗌌	nja̱¹	3	1.21	naa¹	naw¹	naw¹
1998	𗌦	pho¹	1	1.49	phoʶ¹	pho̱¹	pho̱¹
1999	𗏁	ŋwə¹	5	1.27	ɴwəʶ¹	ŋwə̱¹	ŋwə̱¹
2000	𗏄	ŋwə¹	5	1.27	ɴwəʶ¹	ŋwə̱¹	ŋwə̱¹
2001	𗢟	tśjwi²	7	2.09	tświ²	tświ²	tświ²
2002	𗢠	mə²	1	2.25	məʶ²	mə̱²	mə̱²
2003	𗢣	lhji²	9	2.10	lhi²	lhi²	lhi²
2004	𗊯	khja²	5	2.17	kha²	kha²	kha²
2005	𗋋	tśior¹	7	1.90	tśʕoʶr¹	rtṣao̱r¹	rtṣao̱r¹
2006	𗌧	ˑjur²	8	2.70	ˑjur²	ryur²	ryur²
2008	𘉭	xow¹	8	1.54	χoʶw¹	ho̱ṁ¹	ho̱ṃ¹
2009	𗌘	njwɨ¹	3	1.30	nwə¹	nwə¹	nwə¹
2010	𘉴	dze¹	6	1.08	dziʶ¹	dzi̱¹	dzi̱¹
2011	𗋯	ŋwər²	5	2.76	ɴwəʶr²	rŋwə̱r²	rŋwə̱r²
2012	𗌃	tụ̃¹	3	1.96	tụ̃ʶ¹	tu̱ṁh¹	tu̱ṃh¹
